iter	Passed	Remaining
180	396	1792
181	397	1785
182	398	1778
183	399	1772
184	400	1765
185	402	1759
186	403	1752
187	404	1746
188	405	1740
189	407	1735
190	408	1729
191	409	1723
192	410	1717
193	411	1710
194	413	1706
195	414	1700
196	415	1695
197	417	1689
198	418	1684
199	419	1679
200	421	1674
201	422	1668
202	423	1663
203	424	1658
204	426	1653
205	427	1648
206	428	1643
207	429	1637
208	430	1631
209	432	1626
210	433	1619
211	434	1614
212	435	1608
213	436	1603
214	437	1597
215	438	1591
216	439	1586
217	440	1580
218	441	1575
219	442	1569
220	443	1563
221	444	1558
222	445	1552
223	446	1547
224	447	1542
225	448	1537
226	449	1531
227	450	1526
228	452	1521
229	453	1516
230	453	1511
231	455	1506
232	455	1501
233	456	1495
234	458	1490
235	458	1485
236	459	1480
237	460	1475
238	461	1470
239	462	1465
240	463	1460
241	465	1456
242	466	1451
243	467	1446
244	468	1442
245	469	1437
246	470	1433
247	471	1429
248	472	1425
249	473	1420
250	474	1416
251	475	1411
252	476	1407
253	477	1403
254	479	1399
255	480	1396
256	481	1392
257	482	1388
258	483	1383
259	484	1379
260	485	1375
261	486	1371
262	487	1367
263	489	1363
264	489	1358
265	491	1355
266	492	1351
267	493	1347
268	494	1343
269	495	1339
270	496	1336
271	497	1332
272	498	1328
273	499	1324
274	501	1320
275	502	1317
276	503	1313
277	504	1309
278	505	1306
279	506	1302
280	507	1299
281	508	1295
282	509	1292
283	511	1288
284	512	1285
285	513	1281
286	514	1277
287	515	1273
288	516	1270
289	517	1266
290	518	1262
291	519	1259
292	520	1256
293	521	1252
294	522	1249
295	523	1246
296	525	1242
297	526	1239
298	527	1236
299	528	1232
300	530	1230
301	531	1227
302	531	1223
303	533	1220
304	534	1217
305	535	1213
306	536	1210
307	536	1206
308	538	1203
309	539	1200
310	540	1197
311	541	1194
312	542	1191
313	543	1187
314	544	1184
315	545	1181
316	546	1178
317	547	1175
318	548	1171
319	549	1168
320	551	1165
321	551	1162
322	552	1158
323	553	1155
324	554	1152
325	555	1149
326	556	1146
327	558	1143
328	559	1140
329	559	1136
330	561	1134
331	562	1130
332	562	1127
333	564	1124
334	564	1121
335	565	1118
336	567	1115
337	568	1112
338	569	1109
339	570	1106
340	571	1104
341	572	1101
342	573	1098
343	574	1095
344	575	1091
345	576	1089
346	577	1086
347	578	1083
348	579	1080
349	580	1077
350	581	1074
351	582	1071
352	582	1068
353	583	1065
354	585	1063
355	586	1060
356	587	1057
357	588	1054
358	589	1051
359	590	1049
360	591	1046
361	592	1043
362	593	1040
363	594	1038
364	595	1035
365	596	1033
366	597	1030
367	598	1027
368	599	1025
369	600	1022
370	601	1020
371	602	1017
372	603	1014
373	604	1012
374	605	1009
375	606	1006
376	607	1004
377	608	1001
378	609	998
379	610	996
380	611	993
381	612	991
382	613	988
383	614	985
384	615	983
385	616	980
386	617	977
387	618	974
388	618	972
389	619	969
390	620	966
391	621	964
392	622	961
393	623	959
394	624	956
395	625	953
396	626	951
397	627	948
398	628	946
399	629	943
400	629	940
401	630	938
402	631	935
403	632	932
404	633	930
405	634	927
406	635	925
407	636	922
408	636	920
409	637	917
410	638	915
411	639	912
412	640	910
413	641	908
414	642	905
415	643	903
416	644	900
417	645	898
418	645	895
419	646	893
420	647	890
421	648	888
422	649	886
423	650	883
424	651	881
425	652	879
426	653	876
427	654	874
428	654	871
429	655	869
430	656	866
431	657	864
432	658	862
433	659	860
434	660	857
435	661	855
436	662	853
437	663	851
438	664	849
439	665	846
440	666	844
441	667	842
442	667	839
443	668	837
444	670	835
445	670	833
446	671	830
447	672	828
448	673	826
449	674	824
450	675	821
451	676	819
452	676	817
453	677	815
454	678	812
455	679	810
456	680	808
457	681	805
458	681	803
459	682	801
460	683	799
461	684	797
462	685	794
463	686	792
464	687	790
465	687	788
466	688	786
467	689	784
